province,constituency,amphoe,tambon,unit,form_type,eligible_voters,turnout,ballots_allocated,ballots_used,valid_ballots,spoiled_ballots,abstain_ballots,ballots_remaining,candidate_number,candidate_name,party,votes,votes_th,validation,source
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,11,,เศรษฐกิจ,7,เล็ก,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,12,,เสรีรวมไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,13,,รวมพลังประชาชน,2,มอง,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,14,,ท้องที่ไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,15,,อนาคตไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,16,,พลังเพื่อไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,17,,ไทยชนะ,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,18,,พลังสังคมใหม่,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,19,,สังคมประชาธิปไตยไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,20,,พิวซัน,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,21,,ไทรวมพลัง,26,สีส้ม หก,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,22,,ก้าวอิสระ,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,23,,ปวงชนไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,24,,วิชชั่นใหม่,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,25,,เพื่อชีวิตใหม่,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,26,,คลองไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,27,,ประชาธิปัตย์,27,สีส้ม หก,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,28,,ไทยก้าวหน้า,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,29,,ไทยภักดี,1,หนึ่ง,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,30,,แรงงานสร้างชาติ,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,31,,ประชากรไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,32,,ครูไทยเพื่อประชาชน,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,33,,ประชาชาติ,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,34,,สร้างอนาคตไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,35,,รักชาติ,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,36,,ไทยพร้อม,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,37,,ภูมิใจไทย,36,สามรับ,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,38,,พลังธรรมใหม่,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,39,,กรีน,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,40,,ไทยธรรม,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,41,,แผ่นดินธรรม,1,หนึ่ง,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,42,,กล้าธรรม,51,ห้าสิบเอ็ด,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,43,,พลังประชารัฐ,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,44,,โอกาสใหม่,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,45,,เป็นธรรม,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,46,,ประชาชน,68,หกสิบแปด,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,47,,ประชาไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,48,,ไทยสร้างไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,49,,ไทยก้าวใหม่,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,50,,ประชาอาสาชาติ,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,51,,พร้อม,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,52,,เครือข่ายชาวนาแห่งประเทศไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,53,,ไทยพิทักษ์ธรรม,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,54,,ความหวังใหม่,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,55,,ไทยรวมไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,56,,เพื่อบ้านเมือง,1,หนึ่ง,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536,283,620,283,288,13,2,237,57,,พลังไทยรักชาติ,268,สองร้อยหกสิบแปด,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,constituency,536,283,520,283,263,16,4,237,1,,กล้าธรรม,115,หนึ่งร้อยสิบห้า,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,constituency,536,283,520,283,263,16,4,237,2,,ภูมิใจไทย,2,สอง,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,constituency,536,283,520,283,263,16,4,237,3,,เพื่อไทย,3,สาม,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,constituency,536,283,520,283,263,16,4,237,4,,ประชาชน,24,สามสิบสี่,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,constituency,536,283,520,283,263,16,4,237,5,,ไทรวมพลัง,105,หนึ่งร้อยห้า,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,constituency,536,283,520,283,263,16,4,237,6,,ประชาธิปไตยใหม่,0,ศูนย์,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,constituency,536,283,520,283,263,16,4,237,7,,พลังประชารัฐ,0,ศูนย์,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,constituency,536,283,520,283,263,16,4,237,8,,ประชาธิปัตย์,1,หนึ่ง,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,constituency,536,283,520,283,263,16,4,237,9,,เศรษฐกิจ,3,สาม,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,constituency,536,283,520,283,263,16,4,237,10,,ไทยก้าวใหม่,0,ศูนย์,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,1,,ไทยทรัพย์ทวี,4,สิ,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,2,,เพื่อชาติไทย,2,สอง,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,3,,ใหม่,1,หนึ่ง,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,4,,มิติใหม่,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,5,,รวมใจไทย,3,สาม,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,6,,รวมไทยสร้างชาติ,2,สอง,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,7,,พลวัต,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,8,,ประชาธิปไตยใหม่,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,9,,เพื่อไทย,23,สี่สิบสาม,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,10,,ทางเลือกใหม่,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,11,,เศรษฐกิจ,8,แปด,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,12,,เสรีรวมไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,13,,รวมพลังประชาชน,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,14,,ท้องที่ไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,15,,อนาคตไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,16,,พลังเพื่อไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,17,,ไทยชนะ,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,18,,พลังสังคมใหม่,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,19,,สังคมประชาธิปไตยไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,20,,ฟิวชัน,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,21,,ไทรวมพลัง,14,สิบสี่,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,22,,ก้าวอิสระ,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,23,,ปวงชนไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,24,,วิชชั่นใหม่,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,25,,เพื่อชีวิตใหม่,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353,130,340,130,125,3,2,210,26,,คลองไทย,0,,PASS,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf
