effective_vote_sum,error,error_ratio,error_type,file,retry_count,rows,status,total_seconds,total_votes,used_fast_parser,used_llm,valid_ballots,vote_diff
179,,,clean,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 4/5ทับ18.pdf,0,10,PASS,0.012,179,True,False,,
41,,,warning_only,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 5/5ทับ18(บช).pdf,0,24,WARNING,0.028,41,True,False,,
194,,,warning_only,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 5/5ทับ18.pdf,0,10,WARNING,0.011,194,True,False,,
185,,0.0,clean,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 6/5ทับ18(บช).pdf,0,18,PASS,0.021,185,True,False,185,0
188,,0.0,warning_only,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 6/5ทับ18.pdf,0,10,WARNING,0.011,188,True,False,188,0
214,,,warning_only,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 7/5ทับ18(บช).pdf,0,47,WARNING,0.049,214,True,False,,
212,,0.57037,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 7/5ทับ18.pdf,0,10,REVIEW,4.95,212,True,True,135,77
195,,0.005155,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 8/5ทับ18(บช).pdf,0,57,REVIEW,20.784,389,True,True,194,1
206,,0.0,warning_only,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 8/5ทับ18.pdf,0,10,WARNING,0.014,206,True,False,206,0
199,,0.111607,moderate_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 9/5ทับ18(บช).pdf,0,57,REVIEW,17.573,199,True,True,224,25
243,,0.039526,likely_llm_extraction_error,rawData/อำเภอเขื่องใน/ตำบลกลางใหญ่/หน่วยเลือกตั้งที่ 9/5ทับ18.pdf,0,10,REVIEW,4.741,243,True,True,253,10
346,,0.0,party_name_warning,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 1/5 ทับ 18 (บช).pdf,0,57,WARNING,19.355,346,True,True,346,0
356,,0.0,clean,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 1/5 ทับ 18.pdf,0,7,PASS,0.011,356,True,False,356,0
328,,,warning_only,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 10/5 ทับ 18 (บช).pdf,0,57,WARNING,0.064,328,True,False,,
474,,1.008475,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 10/5 ทับ 18.pdf,0,10,REVIEW,4.606,474,True,True,236,238
588,,0.008432,likely_ocr_handwriting_or_digit_error,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 11/5 ทับ 18 (บช).pdf,0,57,REVIEW,16.355,588,True,True,593,5
474,,1.008475,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 11/5 ทับ 18.pdf,0,10,REVIEW,5.673,474,True,True,236,238
349,,0.088773,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 12/5 ทับ 18 (บช).pdf,0,57,REVIEW,17.661,732,True,True,383,34
399,,0.0,summary_ballot_inconsistency,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 12/5 ทับ 18.pdf,0,7,REVIEW,0.01,399,True,False,399,0
191,,0.0,warning_only,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 2/5 ทับ 18 (บช).pdf,0,57,WARNING,17.335,191,True,True,191,0
197,,0.0,warning_only,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 2/5 ทับ 18.pdf,0,7,WARNING,0.01,197,True,False,197,0
271,,0.231818,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 3/5 ทับ 18 (บช).pdf,0,57,REVIEW,20.464,491,True,True,220,51
214,,0.077586,likely_ocr_handwriting_or_digit_error,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 3/5 ทับ 18.pdf,0,10,REVIEW,0.014,214,True,False,232,18
161,,,likely_llm_extraction_error,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 4/5 ทับ 18 (บช).pdf,0,23,REVIEW,6.809,161,True,True,,
352,,0.032967,likely_ocr_handwriting_or_digit_error,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 4/5 ทับ 18.pdf,0,10,REVIEW,5.495,352,True,True,364,12
590,,,warning_only,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 5/5 ทับ 18 (บช).pdf,0,24,WARNING,0.041,590,True,False,,
307,,0.0,warning_only,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 5/5 ทับ 18.pdf,0,5,WARNING,0.007,307,True,False,307,0
588,,0.008432,likely_ocr_handwriting_or_digit_error,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 6/5 ทับ 18 (บช).pdf,0,57,REVIEW,19.649,588,True,True,593,5
605,,0.006656,likely_ocr_handwriting_or_digit_error,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 6/5 ทับ 18.pdf,0,7,REVIEW,0.01,605,True,False,601,4
399,,0.007463,likely_ocr_handwriting_or_digit_error,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 7/5 ทับ 18 (บช).pdf,0,55,REVIEW,16.988,399,True,True,402,3
421,,0.746888,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 7/5 ทับ18.pdf,0,10,REVIEW,4.775,421,True,True,241,180
185,,,warning_only,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 8/5 ทับ 18 (บช).pdf,0,14,WARNING,0.027,185,True,False,,
614,,1.0,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 8/5 ทับ 18.pdf,0,10,REVIEW,5.611,614,True,True,307,307
455,,0.0,party_name_warning,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 9/5 ทับ 18 (บช).pdf,0,57,WARNING,15.759,455,True,True,455,0
535,,0.089613,moderate_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลก่อเอ้/หน่วยเลือกตั้งที่ 9/5 ทับ 18.pdf,0,7,REVIEW,0.009,535,True,False,491,44
348,,0.392,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf,0,57,REVIEW,20.819,348,True,True,250,98
927,,,clean,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 1/5ทับ18.pdf,0,10,PASS,0.014,927,True,False,,
362,,0.0,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 10/5 ทับ 18 (บช).pdf,0,57,REVIEW,18.561,724,True,True,362,0
373,,0.0,clean,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 10/5 ทับ 18.pdf,0,10,PASS,0.014,373,True,False,373,0
207,,0.009756,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 11/5 ทับ 18 (บช).pdf,0,57,REVIEW,19.408,412,True,True,205,2
826,,2.952153,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 11/5 ทับ 18.pdf,0,10,REVIEW,4.673,826,True,True,209,617
445,,0.126582,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 2/5ทับ18(บช).pdf,0,57,REVIEW,21.342,820,True,True,395,50
363,,0.057143,moderate_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 2/5ทับ18.pdf,0,10,REVIEW,0.014,363,True,False,385,22
346,,0.002899,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 3/5 ทับ 18 (บช).pdf,0,57,REVIEW,17.832,691,True,True,345,1
350,,0.0,clean,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 3/5 ทับ 18.pdf,0,10,PASS,0.013,350,True,False,350,0
344,,0.113269,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 4/5 ทับ 18 (บช).pdf,0,57,REVIEW,20.569,652,True,True,309,35
200,,0.352751,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 4/5 ทับ 18.pdf,0,34,REVIEW,11.313,200,True,True,309,109
432,,0.642586,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 5/5 ทับ 18 (บช).pdf,0,57,REVIEW,19.883,432,True,True,263,169
210,,0.0,warning_only,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 5/5 ทับ 18.pdf,0,10,WARNING,0.013,210,True,False,210,0
282,,0.107595,moderate_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 6/5 ทับ 18 (บช).pdf,0,57,REVIEW,19.382,282,True,True,316,34
314,,0.0,warning_only,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 6/5 ทับ 18.pdf,0,10,WARNING,0.014,314,True,False,314,0
146,,0.106061,likely_ocr_handwriting_or_digit_error,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 7/5 ทับ 18 (บช).pdf,0,57,REVIEW,18.623,146,True,True,132,14
137,,0.0,warning_only,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 7/5 ทับ 18.pdf,0,10,WARNING,0.013,137,True,False,137,0
210,,0.0,party_name_warning,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 8/5 ทับ 18 (บช).pdf,0,57,WARNING,19.195,210,True,True,210,0
214,,0.0,warning_only,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 8/5 ทับ 18.pdf,0,10,WARNING,0.014,214,True,False,214,0
278,,0.070234,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 9/5 ทับ 18 (บช).pdf,0,57,REVIEW,19.138,566,True,True,299,21
316,,0.360324,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลค้อทอง/หน่วยเลือกตั้งที่ 9/5 ทับ 18.pdf,0,10,REVIEW,4.063,316,True,True,494,178
211,,0.0,summary_ballot_inconsistency,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf,0,58,REVIEW,16.016,211,True,True,211,0
229,,0.0,summary_ballot_inconsistency,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 1/5ทับ18.pdf,0,5,REVIEW,0.007,229,True,False,229,0
164,,,warning_only,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 10/5ทับ18(บช).pdf,0,34,WARNING,0.042,164,True,False,,
1045,,64.3125,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 10/5ทับ18.pdf,0,10,REVIEW,4.722,1045,True,True,16,1029
312,,0.090379,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 11/5ทับ18(บช).pdf,0,57,REVIEW,20.104,655,True,True,343,31
359,,0.0,warning_only,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 11/5ทับ18.pdf,0,10,WARNING,5.388,359,True,True,359,0
115,,,warning_only,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 2/5ทับ18(บช).pdf,0,33,WARNING,0.05,115,True,False,,
265,,0.0,warning_only,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 2/5ทับ18.pdf,0,10,WARNING,0.013,265,True,False,265,0
1034,,0.466667,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 3/5ทับ18(บช).pdf,0,57,REVIEW,22.846,1034,True,True,705,329
527,,0.0,clean,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 3/5ทับ18.pdf,0,10,PASS,0.014,527,True,False,527,0
19,,,clean,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 4/5ทับ18(บช).pdf,0,4,PASS,0.01,19,True,False,,
412,,0.024876,likely_ocr_handwriting_or_digit_error,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 4/5ทับ18.pdf,0,10,REVIEW,0.012,412,True,False,402,10
199,,0.0,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 5/5ทับ18(บช).pdf,0,57,REVIEW,23.704,398,True,True,199,0
212,,0.0,clean,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 5/5ทับ18.pdf,0,10,PASS,0.014,212,True,False,212,0
91,,,clean,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 6/5ทับ18(บช).pdf,0,24,PASS,0.03,91,True,False,,
301,,,warning_only,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 6/5ทับ18.pdf,0,10,WARNING,0.011,301,True,False,,
138,,0.0,party_name_warning,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 7/5ทับ18(บช).pdf,0,57,WARNING,22.968,138,True,True,138,0
156,,0.0,summary_ballot_inconsistency,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 7/5ทับ18.pdf,0,10,REVIEW,0.014,156,True,False,156,0
182,,0.080808,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 8/5ทับ18(บช).pdf,0,57,REVIEW,19.912,380,True,True,198,16
201,,0.009852,small_vote_mismatch_warning,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 8/5ทับ18.pdf,0,10,WARNING,0.014,201,True,False,203,2
35,,,warning_only,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 9/5ทับ18(บช).pdf,0,10,WARNING,0.016,35,True,False,,
162,,0.0,clean,rawData/อำเภอเขื่องใน/ตำบลชีทวน/หน่วยเลือกตั้งที่ 9/5ทับ18.pdf,0,10,PASS,0.012,162,True,False,162,0
186,,0.47619,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 1/50ทับ18.pdf,0,10,REVIEW,5.185,186,True,True,126,60
185,,0.057143,likely_ocr_handwriting_or_digit_error,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf,0,57,REVIEW,16.407,185,True,True,175,10
305,,0.13806,moderate_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 10/5ทับ18(บช).pdf,0,57,REVIEW,22.542,305,True,True,268,37
280,,0.0,clean,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 10/5ทับ18.pdf,0,10,PASS,0.014,280,True,False,280,0
239,,0.17301,moderate_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 11/5ทับ18(บช).pdf,0,57,REVIEW,17.532,239,True,True,289,50
248,,0.0,clean,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 11/5ทับ18.pdf,0,10,PASS,0.014,248,True,False,248,0
236,,0.058296,likely_ocr_handwriting_or_digit_error,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 12/5 ทับ 18 (บช).pdf,0,57,REVIEW,22.79,236,True,True,223,13
237,,0.0,clean,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 12/5 ทับ 18.pdf,0,10,PASS,0.015,237,True,False,237,0
408,,0.897674,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 13/5 ทับ 18 (บช).pdf,0,57,REVIEW,20.665,408,True,True,215,193
228,,0.0,summary_ballot_inconsistency,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 13/5 ทับ 18.pdf,0,7,REVIEW,0.011,228,True,False,228,0
129,,0.0,warning_only,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 2/5ทับ18(บช).pdf,0,57,WARNING,20.062,129,True,True,129,0
124,,0.0,summary_ballot_inconsistency,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 2/5ทับ18.pdf,0,5,REVIEW,0.007,124,True,False,124,0
168,,0.180488,moderate_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 3/5ทับ18(บช).pdf,0,57,REVIEW,18.659,168,True,True,205,37
209,,0.741656,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 3/5ทับ18.pdf,0,10,REVIEW,5.46,209,True,True,809,600
167,,0.193237,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 4/5ทับ18(บช).pdf,0,57,REVIEW,21.642,376,True,True,207,40
217,,0.0,warning_only,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 4/5ทับ18.pdf,0,6,WARNING,0.009,217,True,False,217,0
177,,0.383275,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 5/5ทับ18(บช).pdf,0,57,REVIEW,20.408,177,True,True,287,110
309,,0.0,clean,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 5/5ทับ18.pdf,0,6,PASS,0.009,309,True,False,309,0
418,,,clean,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 6/5ทับ18(บช).pdf,0,24,PASS,0.031,418,True,False,,
11413502352,,,warning_only,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 6/5ทับ18.pdf,0,10,WARNING,0.011,11413502352,True,False,,
28482,,132.71831,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 7/5ทับ18(บช).pdf,0,57,REVIEW,17.319,28482,True,True,213,28269
214,,0.0,warning_only,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 7/5ทับ18.pdf,0,5,WARNING,0.007,214,True,False,214,0
611,,1.050336,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 8/5ทับ18(บช).pdf,0,57,REVIEW,20.475,611,True,True,298,313
447,,0.557491,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 8/5ทับ18.pdf,0,10,REVIEW,5.493,447,True,True,287,160
199,,0.0,clean,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 9/5ทับ18(บช).pdf,0,57,PASS,19.566,199,True,True,199,0
201,,0.0,warning_only,rawData/อำเภอเขื่องใน/ตำบลท่าไห/หน่วยเลือกตั้งที่ 9/5ทับ18.pdf,0,10,WARNING,0.014,201,True,False,201,0
270,,0.0,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 1/5ทับ18(บช).pdf,0,57,REVIEW,19.45,540,True,True,270,0
1382,,4.118519,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 1/5ทับ18.pdf,0,10,REVIEW,5.307,1382,True,True,270,1112
376,,0.002667,small_vote_mismatch_warning,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 10/5ทับ18(บช).pdf,0,57,REVIEW,14.779,376,True,True,375,1
388,,0.0,summary_ballot_inconsistency,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 10/5ทับ18.pdf,0,5,REVIEW,0.007,388,True,False,388,0
262,,0.007576,small_vote_mismatch_warning,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 2/5ทับ18(บช).pdf,0,57,WARNING,22.119,262,True,True,264,2
1050,,2.888889,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 2/5ทับ18.pdf,0,10,REVIEW,5.898,1050,True,True,270,780
413,,0.01432,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 3/5ทับ18(บช).pdf,0,57,REVIEW,21.179,819,True,True,419,6
444,,0.004525,small_vote_mismatch_warning,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 3/5ทับ18.pdf,0,9,WARNING,0.013,444,True,False,442,2
111,,0.310559,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 4/5ทับ18(บช).pdf,0,57,REVIEW,21.547,272,True,True,161,50
169,,0.0,summary_ballot_inconsistency,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 4/5ทับ18.pdf,0,10,REVIEW,0.014,169,True,False,169,0
302,,0.188976,moderate_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 5/5ทับ18(บช).pdf,0,57,REVIEW,19.643,302,True,True,254,48
266,,0.403587,likely_llm_extraction_error,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 5/5ทับ18.pdf,0,10,REVIEW,5.4,266,True,True,446,180
137,,0.179641,moderate_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 6/5ทับ18(บช).pdf,0,57,REVIEW,19.383,137,True,True,167,30
179,,0.0,warning_only,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 6/5ทับ18.pdf,0,10,WARNING,0.014,179,True,False,179,0
2402,,11.575916,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 7/5ทับ18(บช).pdf,0,57,REVIEW,16.79,2601,True,True,191,2211
195,,0.020101,likely_ocr_handwriting_or_digit_error,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 7/5ทับ18.pdf,0,10,REVIEW,4.255,195,True,True,199,4
380,,0.007958,party_list_total_copy_error,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 8/5ทับ18(บช).pdf,0,57,REVIEW,17.114,757,True,True,377,3
386,,0.005155,small_vote_mismatch_warning,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 8/5ทับ18.pdf,0,10,WARNING,0.014,386,True,False,388,2
365,,0.173633,large_vote_mismatch,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 9/5ทับ18(บช).pdf,0,57,REVIEW,20.113,365,True,True,311,54
323,,0.012232,likely_ocr_handwriting_or_digit_error,rawData/อำเภอเขื่องใน/ตำบลธาตุน้อย/หน่วยเลือกตั้งที่ 9/5ทับ18.pdf,0,10,REVIEW,0.015,323,True,False,327,4
