error,file,retry_count,rows,status,total_seconds,total_votes
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 11\5 ทับ 18.pdf,1,10,REVIEW,8.198,472
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 12\5 ทับ 18 (บช).pdf,1,57,REVIEW,31.825,688
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 12\5 ทับ 18.pdf,0,10,PASS,4.056,399
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 2\5 ทับ 18 (บช).pdf,1,33,REVIEW,18.359,296
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 2\5 ทับ 18.pdf,0,10,PASS,3.946,197
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 3\5 ทับ 18 (บช).pdf,1,57,REVIEW,33.075,456
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 3\5 ทับ 18.pdf,1,10,REVIEW,7.8,214
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 4\5 ทับ 18 (บช).pdf,1,19,REVIEW,10.236,143
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 4\5 ทับ 18.pdf,1,10,REVIEW,7.983,322
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 5\5 ทับ 18 (บช).pdf,1,33,REVIEW,17.837,549
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 5\5 ทับ 18.pdf,1,10,REVIEW,8.739,614
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 6\5 ทับ 18 (บช).pdf,1,57,REVIEW,30.371,1391
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 6\5 ทับ 18.pdf,1,10,REVIEW,8.855,1202
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 7\5 ทับ 18 (บช).pdf,1,55,REVIEW,27.972,379
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 7\5 ทับ18.pdf,1,10,REVIEW,8.075,421
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 8\5 ทับ 18 (บช).pdf,1,31,REVIEW,17.493,165
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 8\5 ทับ 18.pdf,1,10,REVIEW,8.455,614
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 9\5 ทับ 18 (บช).pdf,1,57,REVIEW,28.012,317
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 9\5 ทับ 18.pdf,1,10,REVIEW,16.694,966
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,0,57,WARNING,13.882,264
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,0,10,WARNING,5.295,253
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,1,57,REVIEW,29.241,158
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,1,10,REVIEW,7.475,254
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 11\5ทับ18(บช).pdf,1,57,REVIEW,30.268,145
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 11\5ทับ18.pdf,1,10,REVIEW,8.706,181
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,1,57,REVIEW,31.58,305
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,0,10,PASS,4.601,155
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,0,57,WARNING,16.848,213
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,1,10,REVIEW,9.443,357
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,1,57,REVIEW,35.08,251
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,0,10,PASS,4.002,179
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,1,33,REVIEW,18.39,398
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,1,10,REVIEW,9.114,214
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,0,57,PASS,17.512,185
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,0,10,PASS,4.54,188
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,1,33,REVIEW,17.326,468
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,1,10,REVIEW,8.351,4673
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,1,57,REVIEW,29.739,441
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 8\5ทับ18.pdf,0,10,PASS,4.337,206
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 9\5ทับ18(บช).pdf,1,52,REVIEW,27.997,1377
,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 9\5ทับ18.pdf,1,10,REVIEW,8.544,263
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 1\5 ทับ 18 (บช).pdf,0,57,WARNING,14.78,340
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 1\5 ทับ 18.pdf,0,10,PASS,3.853,356
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 10\5 ทับ 18 (บช).pdf,1,33,REVIEW,15.785,330
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 10\5 ทับ 18.pdf,1,10,REVIEW,10.029,472
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 11\5 ทับ 18 (บช).pdf,1,57,REVIEW,30.951,1391
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 11\5 ทับ 18.pdf,1,10,REVIEW,8.629,472
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 12\5 ทับ 18 (บช).pdf,1,57,REVIEW,29.661,46243
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 12\5 ทับ 18.pdf,0,10,PASS,4.212,399
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 2\5 ทับ 18 (บช).pdf,1,33,REVIEW,17.877,296
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 2\5 ทับ 18.pdf,0,10,PASS,3.798,197
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 3\5 ทับ 18 (บช).pdf,1,57,REVIEW,28.769,1316
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 3\5 ทับ 18.pdf,0,10,WARNING,4.285,214
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 4\5 ทับ 18 (บช).pdf,1,32,REVIEW,16.531,143
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 4\5 ทับ 18.pdf,1,10,REVIEW,7.908,319
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 5\5 ทับ 18 (บช).pdf,1,33,REVIEW,18.403,479
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 5\5 ทับ 18.pdf,1,10,REVIEW,9.142,614
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 6\5 ทับ 18 (บช).pdf,1,57,REVIEW,33.385,2096
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 6\5 ทับ 18.pdf,1,10,REVIEW,8.186,1202
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 7\5 ทับ 18 (บช).pdf,1,55,REVIEW,29.69,379
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 7\5 ทับ18.pdf,1,10,REVIEW,9.27,421
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 8\5 ทับ 18 (บช).pdf,1,31,REVIEW,17.319,155
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 8\5 ทับ 18.pdf,1,10,REVIEW,8.594,614
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 9\5 ทับ 18 (บช).pdf,1,57,REVIEW,29.23,354
,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 9\5 ทับ 18.pdf,1,10,REVIEW,8.727,966
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,1,57,REVIEW,34.503,210
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,1,10,REVIEW,8.843,699
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 10\5 ทับ 18 (บช).pdf,1,57,REVIEW,36.62,4207
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 10\5 ทับ 18.pdf,0,10,WARNING,4.294,373
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 11\5 ทับ 18 (บช).pdf,1,33,REVIEW,18.315,323
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 11\5 ทับ 18.pdf,1,10,REVIEW,8.574,826
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,1,57,REVIEW,40.944,738
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,1,10,REVIEW,9.485,383
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 3\5 ทับ 18 (บช).pdf,1,57,REVIEW,34.282,710
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 3\5 ทับ 18.pdf,0,10,PASS,3.993,350
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 4\5 ทับ 18 (บช).pdf,1,33,REVIEW,21.81,1097
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 4\5 ทับ 18.pdf,1,10,REVIEW,7.211,244
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 5\5 ทับ 18 (บช).pdf,1,57,REVIEW,34.786,405
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 5\5 ทับ 18.pdf,0,10,PASS,4.389,210
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 6\5 ทับ 18 (บช).pdf,1,57,REVIEW,32.02,298
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 6\5 ทับ 18.pdf,0,10,PASS,3.685,314
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 7\5 ทับ 18 (บช).pdf,1,33,REVIEW,20.969,83
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 7\5 ทับ 18.pdf,1,10,PASS,9.617,137
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 8\5 ทับ 18 (บช).pdf,1,57,REVIEW,40.715,216
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 8\5 ทับ 18.pdf,0,10,PASS,3.954,214
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 9\5 ทับ 18 (บช).pdf,1,57,REVIEW,36.329,349
,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 9\5 ทับ 18.pdf,1,10,REVIEW,11.194,622
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,1,33,REVIEW,19.601,113
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,0,10,WARNING,4.753,229
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,1,33,REVIEW,25.109,238
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,0,10,WARNING,5.353,345
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 11\5ทับ18(บช).pdf,1,57,REVIEW,40.395,691
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 11\5ทับ18.pdf,0,10,PASS,5.005,359
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,1,32,REVIEW,21.768,370
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,0,10,WARNING,5.222,265
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,1,57,REVIEW,32.474,1038
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,1,10,REVIEW,8.329,527
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,1,32,REVIEW,21.475,208
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,1,10,REVIEW,8.452,402
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,1,57,REVIEW,35.93,400
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,1,10,REVIEW,8.364,424
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,1,33,REVIEW,17.911,193
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,1,10,REVIEW,9.618,301
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,1,57,REVIEW,32.069,118
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,1,10,REVIEW,7.944,426
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,1,57,REVIEW,32.612,33
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 8\5ทับ18.pdf,0,10,WARNING,5.031,201
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 9\5ทับ18(บช).pdf,1,57,REVIEW,32.681,564
,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 9\5ทับ18.pdf,0,10,PASS,4.157,162
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 1\50ทับ18.pdf,1,10,REVIEW,8.079,136
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,1,57,REVIEW,30.767,270
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,1,33,REVIEW,16.84,158
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,0,10,PASS,4.31,280
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 11\5ทับ18(บช).pdf,0,57,WARNING,15.07,239
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 11\5ทับ18.pdf,0,10,PASS,4.22,248
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 12\5 ทับ 18 (บช).pdf,1,33,REVIEW,20.559,53
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 12\5 ทับ 18.pdf,0,10,PASS,4.856,237
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 13\5 ทับ 18 (บช).pdf,1,57,REVIEW,26.402,20756
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 13\5 ทับ 18.pdf,1,10,REVIEW,8.364,516
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,1,57,REVIEW,29.83,13116
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,1,10,REVIEW,8.023,258
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,0,47,WARNING,12.82,385
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,1,10,REVIEW,7.88,209
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,1,57,REVIEW,28.198,406
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,1,10,REVIEW,7.667,434
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,1,57,REVIEW,31.7,287
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,0,10,PASS,3.81,309
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,1,22,REVIEW,14.035,179
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,1,10,REVIEW,8.225,640
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,1,57,REVIEW,30.988,3012
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,0,10,WARNING,3.711,214
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,1,57,REVIEW,35.348,720
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 8\5ทับ18.pdf,1,10,REVIEW,7.973,295
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 9\5ทับ18(บช).pdf,1,57,WARNING,30.974,199
,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 9\5ทับ18.pdf,0,10,PASS,3.691,201
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,1,57,REVIEW,36.095,540
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,1,10,REVIEW,9.034,310
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,1,57,REVIEW,26.52,376
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,1,10,REVIEW,7.703,388
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,1,33,REVIEW,19.504,95
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,1,10,REVIEW,7.783,871
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,1,33,REVIEW,19.604,609
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,0,10,WARNING,4.402,442
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,1,57,REVIEW,33.741,16773
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,1,10,REVIEW,8.201,169
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,1,57,REVIEW,33.558,764
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,1,11,REVIEW,9.318,532
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,1,10,REVIEW,7.623,40
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,0,10,PASS,5.078,179
