api_seconds,attempt,file,prompt_chars,request_label,response_chars,status,status_code,total_seconds,wait_seconds
3.867,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 10\5 ทับ 18.pdf,5528,initial,1736,PASS,200,3.867,0.0
4.243,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 10\5 ทับ 18.pdf,7105,retry,1736,PASS,200,4.243,0.0
14.25,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 11\5 ทับ 18 (บช).pdf,8900,initial,7306,PASS,200,14.25,0.0
24.619,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 11\5 ทับ 18 (บช).pdf,14169,retry,7306,PASS,200,24.619,0.0
3.862,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 11\5 ทับ 18.pdf,5528,initial,1736,PASS,200,3.862,0.0
4.325,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 11\5 ทับ 18.pdf,7105,retry,1736,PASS,200,4.325,0.0
17.504,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 12\5 ทับ 18 (บช).pdf,9278,initial,7340,PASS,200,17.504,0.0
14.308,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 12\5 ทับ 18 (บช).pdf,14579,retry,7276,PASS,200,14.308,0.0
4.048,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 12\5 ทับ 18.pdf,5828,initial,1685,PASS,200,4.048,0.0
8.614,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 2\5 ทับ 18 (บช).pdf,7861,initial,4302,PASS,200,8.614,0.0
9.736,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 2\5 ทับ 18 (บช).pdf,11084,retry,4302,PASS,200,9.736,0.0
3.938,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 2\5 ทับ 18.pdf,5752,initial,1706,PASS,200,3.938,0.0
14.86,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 3\5 ทับ 18 (บช).pdf,8461,initial,7412,PASS,200,14.86,0.0
18.205,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 3\5 ทับ 18 (บช).pdf,14022,retry,7412,PASS,200,18.205,0.0
3.909,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 3\5 ทับ 18.pdf,5740,initial,1715,PASS,200,3.909,0.0
3.881,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 3\5 ทับ 18.pdf,7351,retry,1715,PASS,200,3.881,0.0
5.366,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 4\5 ทับ 18 (บช).pdf,7346,initial,2681,PASS,200,5.366,0.0
4.861,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 4\5 ทับ 18 (บช).pdf,9656,retry,2559,PASS,200,4.861,0.0
3.728,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 4\5 ทับ 18.pdf,5795,initial,1738,PASS,200,3.728,0.0
4.247,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 4\5 ทับ 18.pdf,7495,retry,1738,PASS,200,4.247,0.0
8.68,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 5\5 ทับ 18 (บช).pdf,7031,initial,4302,PASS,200,8.68,0.0
9.147,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 5\5 ทับ 18 (บช).pdf,10254,retry,4302,PASS,200,9.147,0.0
4.208,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 5\5 ทับ 18.pdf,5581,initial,1723,PASS,200,4.208,0.0
4.522,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 5\5 ทับ 18.pdf,7145,retry,1723,PASS,200,4.522,0.0
14.241,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 6\5 ทับ 18 (บช).pdf,8789,initial,7313,PASS,200,14.241,0.0
16.119,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 6\5 ทับ 18 (บช).pdf,14065,retry,7313,PASS,200,16.119,0.0
4.907,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 6\5 ทับ 18.pdf,5391,initial,1732,PASS,200,4.907,0.0
3.939,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 6\5 ทับ 18.pdf,7156,retry,1732,PASS,200,3.939,0.0
13.774,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 7\5 ทับ 18 (บช).pdf,9513,initial,7005,PASS,200,13.774,0.0
14.186,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 7\5 ทับ 18 (บช).pdf,14692,retry,7005,PASS,200,14.186,0.0
4.12,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 7\5 ทับ18.pdf,7092,initial,1715,PASS,200,4.12,0.0
3.946,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 7\5 ทับ18.pdf,8773,retry,1715,PASS,200,3.946,0.0
8.996,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 8\5 ทับ 18 (บช).pdf,7150,initial,4028,PASS,200,8.996,0.0
8.476,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 8\5 ทับ 18 (บช).pdf,10179,retry,4028,PASS,200,8.476,0.0
3.798,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 8\5 ทับ 18.pdf,5581,initial,1723,PASS,200,3.798,0.0
4.648,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 8\5 ทับ 18.pdf,7145,retry,1723,PASS,200,4.648,0.0
13.877,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 9\5 ทับ 18 (บช).pdf,8743,initial,7285,PASS,200,13.877,0.0
14.125,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 9\5 ทับ 18 (บช).pdf,13989,retry,7275,PASS,200,14.125,0.0
4.35,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 9\5 ทับ 18.pdf,5649,initial,1738,PASS,200,4.35,0.0
12.335,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 9\5 ทับ 18.pdf,7297,retry,1738,PASS,200,12.335,0.0
18.657,1,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,9276,initial,7340,PASS,200,18.657,0.0
13.877,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,8640,initial,7191,PASS,200,13.877,0.0
5.293,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,5911,initial,1726,PASS,200,5.293,0.0
14.05,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,8873,initial,7182,PASS,200,14.05,0.0
15.185,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,25414,retry,7184,PASS,200,15.185,0.0
3.741,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,4621,initial,1712,PASS,200,3.741,0.0
3.73,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,8480,retry,1712,PASS,200,3.73,0.0
15.086,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 11\5ทับ18(บช).pdf,9565,initial,7182,PASS,200,15.086,0.0
15.176,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 11\5ทับ18(บช).pdf,24344,retry,7183,PASS,200,15.176,0.0
4.514,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 11\5ทับ18.pdf,6075,initial,1697,PASS,200,4.514,0.0
4.189,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 11\5ทับ18.pdf,9795,retry,1697,PASS,200,4.189,0.0
14.691,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,8614,initial,7199,PASS,200,14.692,0.0
16.883,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,23423,retry,7200,PASS,200,16.883,0.0
4.598,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,5916,initial,1691,PASS,200,4.598,0.0
16.844,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,8150,initial,7214,PASS,200,16.844,0.0
4.286,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,5822,initial,1728,PASS,200,4.286,0.0
5.153,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,9500,retry,1728,PASS,200,5.153,0.0
15.426,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,9818,initial,7659,PASS,200,15.426,0.0
19.647,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,25171,retry,7659,PASS,200,19.647,0.0
4.0,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,6117,initial,1737,PASS,200,4.0,0.0
9.226,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,8217,initial,4393,PASS,200,9.226,0.0
9.158,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,18577,retry,4395,PASS,200,9.158,0.0
3.955,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,5637,initial,1721,PASS,200,3.955,0.0
5.155,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,9471,retry,1721,PASS,200,5.155,0.0
17.508,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,8867,initial,7188,PASS,200,17.508,0.0
4.538,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,5866,initial,1715,PASS,200,4.538,0.0
8.616,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,7227,initial,4251,PASS,200,8.616,0.0
8.706,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,17304,retry,4252,PASS,200,8.706,0.0
4.342,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,5813,initial,1732,PASS,200,4.342,0.0
4.005,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,9483,retry,1732,PASS,200,4.005,0.0
18.237,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,8235,initial,7391,PASS,200,18.237,0.0
11.496,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,23602,retry,4475,PASS,200,11.496,0.0
4.333,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 8\5ทับ18.pdf,5633,initial,1717,PASS,200,4.333,0.0
14.177,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 9\5ทับ18(บช).pdf,8737,initial,7154,PASS,200,14.177,0.0
13.815,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 9\5ทับ18(บช).pdf,23733,retry,6570,PASS,200,13.815,0.0
4.513,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 9\5ทับ18.pdf,11109,initial,1722,PASS,200,4.513,0.0
4.028,1,rawData\อำเภอเขื่องใน\ตำบลกลางใหญ่\หน่วยเลือกตั้งที่ 9\5ทับ18.pdf,15375,retry,1722,PASS,200,4.028,0.0
14.775,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 1\5 ทับ 18 (บช).pdf,8964,initial,7352,PASS,200,14.775,0.0
3.851,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 1\5 ทับ 18.pdf,5997,initial,1720,PASS,200,3.851,0.0
9.312,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 10\5 ทับ 18 (บช).pdf,7264,initial,4389,PASS,200,9.312,0.0
6.467,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 10\5 ทับ 18 (บช).pdf,17047,retry,2667,PASS,200,6.467,0.0
5.019,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 10\5 ทับ 18.pdf,5528,initial,1736,PASS,200,5.019,0.0
5.006,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 10\5 ทับ 18.pdf,9194,retry,1736,PASS,200,5.006,0.0
15.346,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 11\5 ทับ 18 (บช).pdf,8900,initial,7306,PASS,200,15.346,0.0
15.599,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 11\5 ทับ 18 (บช).pdf,23753,retry,7306,PASS,200,15.599,0.0
4.083,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 11\5 ทับ 18.pdf,5528,initial,1736,PASS,200,4.083,0.0
4.542,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 11\5 ทับ 18.pdf,9194,retry,1736,PASS,200,4.542,0.0
14.396,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 12\5 ทับ 18 (บช).pdf,9278,initial,7340,PASS,200,14.396,0.0
15.26,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 12\5 ทับ 18 (บช).pdf,25335,retry,7344,PASS,200,15.26,0.0
4.209,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 12\5 ทับ 18.pdf,5828,initial,1685,PASS,200,4.209,0.0
9.533,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 2\5 ทับ 18 (บช).pdf,7861,initial,4302,PASS,200,9.533,0.0
8.34,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 2\5 ทับ 18 (บช).pdf,16864,retry,4302,PASS,200,8.34,0.0
3.794,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 2\5 ทับ 18.pdf,5752,initial,1706,PASS,200,3.794,0.0
17.896,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 3\5 ทับ 18 (บช).pdf,8461,initial,7412,PASS,200,17.896,0.0
10.867,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 3\5 ทับ 18 (บช).pdf,34262,retry,4512,PASS,200,10.867,0.0
4.282,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 3\5 ทับ 18.pdf,5740,initial,1715,PASS,200,4.282,0.0
8.268,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 4\5 ทับ 18 (บช).pdf,7346,initial,4115,PASS,200,8.268,0.0
8.258,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 4\5 ทับ 18 (บช).pdf,16304,retry,4117,PASS,200,8.258,0.0
3.74,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 4\5 ทับ 18.pdf,5795,initial,1738,PASS,200,3.74,0.0
4.164,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 4\5 ทับ 18.pdf,10158,retry,1738,PASS,200,4.164,0.0
8.93,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 5\5 ทับ 18 (บช).pdf,7031,initial,4302,PASS,200,8.93,0.0
9.468,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 5\5 ทับ 18 (บช).pdf,17168,retry,4302,PASS,200,9.468,0.0
4.751,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 5\5 ทับ 18.pdf,5581,initial,1723,PASS,200,4.751,0.0
4.387,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 5\5 ทับ 18.pdf,9255,retry,1723,PASS,200,4.387,0.0
15.398,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 6\5 ทับ 18 (บช).pdf,8789,initial,7313,PASS,200,15.398,0.0
17.981,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 6\5 ทับ 18 (บช).pdf,29807,retry,7322,PASS,200,17.981,0.0
4.243,1,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 6\5 ทับ 18.pdf,5391,initial,1732,PASS,200,4.243,0.0
